epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.222,1.25126,2.78632,1.00983,0.56483,0.59282,0.53468,0.34304,1.21343,1.18109,1.03609,0.00332816,0.00332816,0.00332816
2,267.759,1.232,1.75922,1.02506,0.67301,0.65707,0.59734,0.386,1.22686,1.11144,1.05975,0.00662852,0.00662852,0.00662852
3,391.025,1.25675,1.46976,1.05418,0.55377,0.58416,0.55677,0.34707,1.25147,1.14367,1.10419,0.00989588,0.00989588,0.00989588
4,516.992,1.26207,1.21916,1.09093,0.5946,0.70541,0.63058,0.40307,1.2079,0.96811,1.12503,0.0098515,0.0098515,0.0098515
5,642.627,1.24323,1.07779,1.09825,0.68389,0.69073,0.64873,0.41565,1.21122,0.9456,1.13076,0.009802,0.009802,0.009802
6,767.418,1.22166,0.99059,1.09216,0.61582,0.78227,0.66061,0.42638,1.19291,0.87261,1.13457,0.0097525,0.0097525,0.0097525
7,898.334,1.20057,0.93385,1.08736,0.63274,0.76351,0.68237,0.44109,1.19907,0.86759,1.13333,0.009703,0.009703,0.009703
8,1025.66,1.19225,0.91717,1.08964,0.57937,0.79872,0.69556,0.46551,1.16967,0.84845,1.127,0.0096535,0.0096535,0.0096535
9,1152.99,1.19053,0.89394,1.08681,0.71698,0.72273,0.68162,0.44519,1.18777,0.79967,1.14039,0.009604,0.009604,0.009604
10,1281.81,1.176,0.8689,1.08635,0.64557,0.74527,0.69406,0.45745,1.19098,0.8357,1.14678,0.0095545,0.0095545,0.0095545
11,1407.25,1.17861,0.8536,1.08341,0.71262,0.72316,0.7055,0.46777,1.16611,0.78757,1.12729,0.009505,0.009505,0.009505
12,1530.98,1.16393,0.83647,1.07614,0.68846,0.72432,0.73159,0.49207,1.1539,0.78224,1.1246,0.0094555,0.0094555,0.0094555
13,1662.79,1.1575,0.82884,1.0784,0.61477,0.81189,0.71075,0.46948,1.14745,0.77546,1.12517,0.009406,0.009406,0.009406
14,1789.08,1.15714,0.82403,1.07662,0.66545,0.7906,0.71649,0.47013,1.15899,0.77692,1.12885,0.0093565,0.0093565,0.0093565
15,1918.23,1.15335,0.81113,1.07596,0.65221,0.80328,0.71961,0.47882,1.15525,0.75972,1.13584,0.009307,0.009307,0.009307
16,2049.28,1.14363,0.80537,1.07556,0.64799,0.77517,0.71496,0.47608,1.15146,0.75947,1.14017,0.0092575,0.0092575,0.0092575
17,2174.57,1.14776,0.78902,1.0783,0.73375,0.6941,0.72573,0.48755,1.14059,0.74081,1.13011,0.009208,0.009208,0.009208
18,2300.26,1.14734,0.78547,1.07685,0.66855,0.71961,0.72267,0.48205,1.15054,0.74823,1.13987,0.0091585,0.0091585,0.0091585
19,2426.22,1.13774,0.76889,1.07538,0.637,0.77924,0.7312,0.48689,1.15095,0.7218,1.13852,0.009109,0.009109,0.009109
